compound_name,retention_time,smiles,split_index
1_TG 14:0-13:0-14:0-d5_ISTD,9.211,CCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCC,1
1_TG 14:0-15:1-14:0-d5_ISTD,9.235,CCCC/C=C\CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCC,1
1_TG 14:0-17:1-14:0-d5_ISTD,9.742,CCCCCC/C=C\CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCC,1
1_TG 16:0-15:1-16:0-d5_ISTD,10.223,CCCC/C=C\CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC,1
1_TG 16:0-17:1-16:0-d5_ISTD,10.671,CCCCCC/C=C\CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC,1
1_TG 16:0-19:2-16:0-d5_ISTD,10.713,CCCCC/C=C\C/C=C\CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC,1
1_TG 18:1-17:1-18:1-d5_ISTD,10.696,CCCCCC/C=C\CCCCCCCCC(=O)OC(COC(=O)CCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCC/C=C\CCCCCCCC,2
1_TG 18:1-19:2-18:1-d5_ISTD,10.73,CCCCC/C=C\C/C=C\CCCCCCCCC(=O)OC(COC(=O)CCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCC/C=C\CCCCCCCC,1
1_TG 18:1-21:2-18:1-d5_ISTD,11.111,CCCCC/C=C\C/C=C\CCCCCCCCCCC(=O)OC(COC(=O)CCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCC/C=C\CCCCCCCC,1
1_CE 14:1-d7_ISTD,9.82,CCCC/C=C\CCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@@]2(C)[C@H]3CC[C@@H]2[C@H](C)CCCC(C)C)C1,2
1_CE 16:1-d7_ISTD,10.392,CCCCCC/C=C\CCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@@]2(C)[C@H]3CC[C@@H]2[C@H](C)CCCC(C)C)C1,1
1_CE 18:1-d7_ISTD,10.89,CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@@]2(C)[C@H]3CC[C@@H]2[C@H](C)CCCC(C)C)C1,1
1_CE 20:3-d7_ISTD,10.509,CC/C=C\C/C=C\C/C=C\CCCCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@@]2(C)[C@H]3CC[C@@H]2[C@H](C)CCCC(C)C)C1,1
1_CE 22:4-d7_ISTD,10.583,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@@]2(C)[C@H]3CC[C@@H]2[C@H](C)CCCC(C)C)C1,1
1_Cer d18:1-d7/16:1_ISTD,5.038,CCCCCC/C=C\CCCCCCCC(=O)N[C@@H](CO)[C@H](O)/C=C/CCCCCCCCCCCCC,1
1_Cer d18:1-d7/18:1_ISTD,5.694,CCCCCCCC/C=C\CCCCCCCC(=O)N[C@@H](CO)[C@H](O)/C=C/CCCCCCCCCCCCC,1
1_Cer d18:1-d7/20:1_ISTD,6.3420000000000005,CCCCCCCC/C=C\CCCCCCCCCC(=O)N[C@@H](CO)[C@H](O)/C=C/CCCCCCCCCCCCC,1
1_Cer d18:1-d7/22:1_ISTD,6.997000000000001,CCCCCCCC/C=C\CCCCCCCCCCCC(=O)N[C@@H](CO)[C@H](O)/C=C/CCCCCCCCCCCCC,1
1_Cer d18:1-d7/24:1_ISTD,7.645,CCCCCCCC/C=C\CCCCCCCCCCCCCC(=O)N[C@@H](CO)[C@H](O)/C=C/CCCCCCCCCCCCC,1
1_SM d18:1/16:1-d9_ISTD,4.25,CCCCCC/C=C\CCCCCCCC(=O)N[C@@H](COP(=O)([O-])OCC[N+](C)(C)C)[C@H](O)/C=C/CCCCCCCCCCCCC,1
1_SM d18:1/18:1-d9_ISTD,4.839,CCCCCCCC/C=C\CCCCCCCC(=O)N[C@@H](COP(=O)([O-])OCC[N+](C)(C)C)[C@H](O)/C=C/CCCCCCCCCCCCC,1
1_SM d18:1/20:1-d9_ISTD,5.428999999999999,CCCCCCCC/C=C\CCCCCCCCCC(=O)N[C@@H](COP(=O)([O-])OCC[N+](C)(C)C)[C@H](O)/C=C/CCCCCCCCCCCCC,1
1_SM d18:1/22:1-d9_ISTD,6.068,CCCCCCCC/C=C\CCCCCCCCCCCC(=O)N[C@@H](COP(=O)([O-])OCC[N+](C)(C)C)[C@H](O)/C=C/CCCCCCCCCCCCC,1
1_SM d18:1/24:1-d9_ISTD,6.724,CCCCCCCC/C=C\CCCCCCCCCCCCCC(=O)N[C@@H](COP(=O)([O-])OCC[N+](C)(C)C)[C@H](O)/C=C/CCCCCCCCCCCCC,1
1_PC 17:0-14:1-d5_ISTD,4.632,CCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,1
1_PC 17:0-16:1-d5_ISTD,5.221,CCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,1
1_PC 17:0-18:1-d5_ISTD,5.852,CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,1
1_PC 17:0-20:3-d5_ISTD,5.52,CC/C=C\C/C=C\C/C=C\CCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,2
1_PC 17:0-22:4-d5_ISTD,5.711,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,1
1_PE 17:0-14:1-d5_ISTD,4.7810000000000015,CCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCC)COP(=O)([O-])OCC[NH3+],1
1_PE 17:0-16:1-d5_ISTD,5.3870000000000005,CCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCC)COP(=O)([O-])OCC[NH3+],1
1_PE 17:0-18:1-d5_ISTD,6.035,CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCC)COP(=O)([O-])OCC[NH3+],1
1_PE 17:0-20:3-d5_ISTD,5.694,CC/C=C\C/C=C\C/C=C\CCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCC)COP(=O)([O-])OCC[NH3+],1
1_PE 17:0-22:4-d5_ISTD,5.877000000000002,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCC)COP(=O)([O-])OCC[NH3+],1
1_PG 17:0-14:1-d5_ISTD,4.217,CCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCC)COP(=O)([O-])OCC(O)CO,2
1_PG 17:0-16:1-d5_ISTD,4.731,CCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCC)COP(=O)([O-])OCC(O)CO,1
1_PG 17:0-18:1-d5_ISTD,5.312,CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCC)COP(=O)([O-])OCC(O)CO,1
1_PG 17:0-20:3-d5_ISTD,5.013999999999999,CC/C=C\C/C=C\C/C=C\CCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCC)COP(=O)([O-])OCC(O)CO,1
1_PG 17:0-22:4-d5_ISTD,5.188,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCC)COP(=O)([O-])OCC(O)CO.[Na+],1
1_PS 17:0-14:1-d5_ISTD,4.159,CCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCC)COP(=O)([O-])OC[C@H]([NH3+])C(=O)[O-],1
1_PS 17:0-16:1-d5_ISTD,4.682,CCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCC)COP(=O)([O-])OC[C@H]([NH3+])C(=O)[O-],1
1_PS 17:0-18:1-d5_ISTD,5.271,CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCC)COP(=O)([O-])OC[C@H]([NH3+])C(=O)[O-],1
1_PS 17:0-20:3-d5_ISTD,4.964,CC/C=C\C/C=C\C/C=C\CCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCC)COP(=O)([O-])OC[C@H]([NH3+])C(=O)[O-],2
1_PS 17:0-22:4-d5_ISTD,5.162999999999999,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCC)COP(=O)([O-])OC[C@H]([NH3+])C(=O)[O-],1
1_DG 17:0-14:1-d5_ISTD,5.943,CCCC/C=C\CCCCCCCC(=O)O[C@@H](CO)COC(=O)CCCCCCCCCCCCCCCC,1
1_DG 17:0-16:1-d5_ISTD,6.599,CCCCCC/C=C\CCCCCCCC(=O)O[C@@H](CO)COC(=O)CCCCCCCCCCCCCCCC,1
1_DG 17:0-18:1-d5_ISTD,7.271,CCCCCCCC/C=C\CCCCCCCC(=O)O[C@@H](CO)COC(=O)CCCCCCCCCCCCCCCC,1
1_DG 17:0-20:3-d5_ISTD,6.89,CC/C=C\C/C=C\C/C=C\CCCCCCCCCC(=O)O[C@@H](CO)COC(=O)CCCCCCCCCCCCCCCC,1
1_DG 17:0-22:4-d5_ISTD,7.072,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)O[C@@H](CO)COC(=O)CCCCCCCCCCCCCCCC,1
1_PI 17:0-14:1-d5_ISTD,4.051,CCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCC)COP(=O)([O-])O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O.[NH4+],1
1_PI 17:0-16:1-d5_ISTD,4.565,CCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCC)COP(=O)([O-])O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O.[NH4+],1
1_PI 17:0-18:1-d5_ISTD,5.122000000000001,CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCC)COP(=O)([O-])O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O.[NH4+],1
1_PI 17:0-20:3-d5_ISTD,4.839,CC/C=C\C/C=C\C/C=C\CCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCC)COP(=O)([O-])O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O.[NH4+],1
1_PI 17:0-22:4-d5_ISTD,5.022,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCC)COP(=O)([O-])O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O.[NH4+],1
1_LPI 15:0-d5_ISTD,0.88,CCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O.[NH4+],1
1_LPI 17:0-d5_ISTD,1.3030000000000002,CCCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O.[NH4+],1
1_LPI 19:0-d5_ISTD,1.984,CCCCCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O.[NH4+],1
1_LPS 15:0-d5_ISTD,0.921,CCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])OC[C@H]([NH3+])C(=O)[O-],1
1_LPS 17:0-d5_ISTD,1.37,CCCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])OC[C@H]([NH3+])C(=O)[O-],1
1_LPS 19:0-d5_ISTD,2.05,CCCCCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])OC[C@H]([NH3+])C(=O)[O-],1
1_LPG 15:0-d5_ISTD,0.988,CCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])OCC(O)CO,1
1_LPG 17:0-d5_ISTD,1.494,CCCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])OCC(O)CO,1
1_LPG 19:0-d5_ISTD,2.25,CCCCCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])OCC(O)CO,1
1_LPC 15:0-d5_ISTD,1.162,CCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])OCC[N+](C)(C)C,1
1_LPC 17:0-d5_ISTD,1.785,CCCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])OCC[N+](C)(C)C,2
1_LPC 19:0-d5_ISTD,2.648,CCCCCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])OCC[N+](C)(C)C,1
1_LPE 15:0-d5_ISTD,1.187,CCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])OCC[NH3+],1
1_LPE 17:0-d5_ISTD,1.826,CCCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])OCC[NH3+],1
1_LPE 19:0-d5_ISTD,2.714,CCCCCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])OCC[NH3+],2
1_chol-d7_ISTD,4.806,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,1
CAR 10:1 [M]+,0.575772929,C[N+](C)(C)CC(CC(=O)[O-])OC(=O)CCCCCCCC=C,3
CAR 16:0 [M]+,1.612046593,CCCCCCCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,3
CAR 18:0 [M]+,2.393058921,CCCCCCCCCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,3
CAR 18:2 [M]+,1.350519874,CCCCCC=CCC=CCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,3
CE 18:3 [2M+Na]+,10.18143289,CCC=CCC=CCC=CCCCCCCCC(=O)OC1CCC2(C3CCC4(C(C3CC=C2C1)CCC4C(C)CCCC(C)C)C)C,3
CE 20:5 [2M+Na]+,9.907073808,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)OC1CCC2(C3CCC4(C(C3CC=C2C1)CCC4C(C)CCCC(C)C)C)C,3
Cer d42:1 [M+H]+,8.433199454,CCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(CO)C(C=CCCCCCCCCCCCCC)O,3
DG 32:1 [M+K]+,6.450940409,CCCCCCCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCC=CCCCCCCCC,3
DG 34:2 [M+K]+,6.470762807000001,CCCCCCCCCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCC=CCC=CCCCCC,3
DG 34:3 [M+K]+,5.85793623,CCCCCCC=CCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCC=CCC=CCCCCC,3
DG 38:5 [M+K]+,6.371746822000001,CCCCCC=CCC=CCCCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCCC=CCC=CCC=CCC,3
GlcCer d42:1 [M+H]+,7.772607335,CCCCCCCCCCCCCCCC(C(COC1C(C(C(C(O1)CO)O)O)O)NC(=O)CCCCCCCCCCCCCC=CCCCCCCCC)O,3
Lactosylceramide d18:1/24:1 15Z [M+H]+,6.8226377495,CCCCCCCCCCCCCC=CC(C(COC1C(C(C(C(O1)CO)OC2C(C(C(C(O2)CO)O)O)O)O)O)NC(=O)CCCCCCCCCCCCCC=CCCCCCCCC)O,3
LPC 16:0 [M+H]+,1.488106479,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)O,3
LPC 18:1 [M+H]+,1.63558308,CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)O,3
LPC 18:3 [M+H]+,1.006900194,CCC=CCC=CCC=CCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)O,3
LPC 20:1 [M+H]+,2.384229873,CCCCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)O,3
LPC 20:2 [M+H]+,1.79819023,CCCCCC=CCC=CCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)O,3
LPC 20:4 [M+H]+,1.193437225,CCC=CCC=CCC=CCC=CCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)O,3
PC 31:0 [M+H]+,5.197317827,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCC,3
PC 32:2 [M+H]+,4.49843029,CCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCC,3
PC 33:2 [M+H]+,4.7936269430000005,CCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCC=CCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,3
PC 34:1 [M+H]+,5.601470797999999,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCCCC,3
PC 35:1 [M+H]+,5.917216878,CCCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,3
PC 36:1 [M+H]+,6.272922049,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCCCC,3
PC 36:6 [M+H]+,4.272110814,CCCCCC=CCC=CCC=CCCCCC(=O)OC(COC(=O)CCCCCCCC=CCC=CCC=CCC)COP(=O)([O-])OCC[N+](C)(C)C,3
PC 37:3 [M+H]+,5.496939567999999,CCCCCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCC=CCC=CCC)COP(=O)([O-])OCC[N+](C)(C)C,3
PC 38:5 Isomer A [M+H]+,5.059392967,CCCCCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCC=CCC=CCC=CCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,3
PC 38:7 [M+H]+,4.360659261,CCCCCC=CCC=CCC=CCCCCC(=O)OC(COC(=O)CCCCCCC=CCC=CCC=CCC=CCC)COP(=O)([O-])OCC[N+](C)(C)C,3
PC 39:6 [M+H]+,5.080105885,CCCCCC=CCC=CCC=CCC=CCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCC=CCCCC)COP(=O)([O-])OCC[N+](C)(C)C,3
PC 40:5 Isomer B [M+H]+,5.917216878,CCCCCCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCC=CCC=CCC=CCC=CCC=CCC)COP(=O)([O-])OCC[N+](C)(C)C,3
PC O-32:0 [M+H]+,5.936942883,CCCCCCCCCCCCCCCCOC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,3
PC O-34:0 [M+H]+,6.629197688,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OCCCCCCCCCCCCCCCC,3
PE 38:4 [M+H]+,5.818488126,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCCC=CCC=CCC=CCC=CCCCCC,3
PE 38:6 [M+H]+,5.000407475,CCCCCC=CCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCCC=CCC=CCC=CCC=CCCCCC,3
SM d33:1 [M+H]+,4.478751624,CCCCCCCCCCCCCCC(=O)NC(COP(=O)([O-])OCC[N+](C)(C)C)C(C=CCCCCCCCCCCCCC)O,3
SM d36:0 [M+H]+,5.709914184,CCCCCCCCCCCCCCCCCC(=O)NC(COP(=O)([O-])OCC[N+](C)(C)C)C(CCCCCCCCCCCCCCC)O,3
SM d36:3 [M+H]+,4.429520097,CCCCCCCCC=CCCCCCCCC(=O)NC(COP(=O)([O-])OCC[N+](C)(C)C)C(C=CCCCCCCCCC=CCCC)O,3
SM d38:0 [M+H]+,6.401223076,CCCCCCCCCCCCCCCCCCCC(=O)NC(COP(=O)([O-])OCC[N+](C)(C)C)C(CCCCCCCCCCCCCCC)O,3
SM d40:0 [M+H]+,7.1054497,CCCCCCCCCCCCCCCCCCCCCC(=O)NC(COP(=O)([O-])OCC[N+](C)(C)C)C(CCCCCCCCCCCCCCC)O,3
SM d40:1 [M+H]+,6.857200959,CCCCCCCCCCCCCCCCCCCCCC(=O)NC(COP(=O)([O-])OCC[N+](C)(C)C)C(C=CCCCCCCCCCCCCC)O,3
SM d41:1 [M+H]+,7.204769132000001,CCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COP(=O)([O-])OCC[N+](C)(C)C)C(C=CCCCCCCCCCCCCC)O,3
SM d42:0 [M+H]+,7.779054378,CCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COP(=O)([O-])OCC[N+](C)(C)C)C(CCCCCCCCCCCCCCC)O,3
SM d44:2 [M+H]+,7.494779387999999,CCCCCCCCCCCCCC=CC(C(COP(=O)([O-])OCC[N+](C)(C)C)NC(=O)CCCCCCCCCCCCCCCC=CCCCCCCCC)O,3
TG 42:3 [M+K]+,8.182597369,CCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCCCC)OC(=O)CCCCCCCC=CCCCC,3
TG 44:0 [M+K]+,10.08994318,CCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCC,3
TG 44:1 [M+K]+,9.623078554,CCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCC)COC(=O)CCCCCCCC=CCCCCCC,3
TG 46:2 [M+K]+,9.694063302,CCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCCCCCC)OC(=O)CCCCCCCC=CCCCCCC,3
TG 50:0 [M+K]+,11.32378583,CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC,3
TG 50:4 [M+K]+,9.795443512,CCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCC=CCCCCC)OC(=O)CCCCCCCC=CCCCCCC,3
TG 51:2 [M+K]+,10.813151069999998,CCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCCCCCCC)OC(=O)CCCCCCCC=CCCCCCCC,3
TG 51:4 [M+K]+,10.03912576,CCCCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCCCCCC)OC(=O)CCCCCCCC=CCC=CCCCC,3
TG 53:1 [M+K]+,11.5791763,CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC,3
TG 53:4 [M+K]+,10.48685073,CCCCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCC=CCCCC)OC(=O)CCCCCCCC=CCCCCCCCC,3
TG 53:5 [M+K]+,10.12288659,CCCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCC=CCCCCC)OC(=O)CCCCCCCC=CCC=CCCCCC,3
TG 54:0 [M+K]+,11.916331570000002,CCCCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC,3
TG 54:1 [M+K]+,11.75294399,CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC,3
TG 54:3 [M+K]+,11.05814421,CCCCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC,3
TG 54:8 [M+K]+,9.258887282,CCCCCC=CCC=CCC=CCC=CCCCC(=O)OCC(COC(=O)CCCCCCCC=CCC=CCCCC)OC(=O)CCCCCCCC=CCC=CCCCC,3
TG 56:1 [M+K]+,11.93671442,CCCCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCC=CCCCCCCCC,3
TG 56:4 [M+K]+,11.06837373,CCCCCCCCC=CCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCC=CCC=CCCCCC,3
TG 58:1 [M+K]+,12.04906733,CCCCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCCCC,3
TG 58:2 [M+K]+,11.93671442,CCCCCCCCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCC=CCC=CCCCCC,3
TG 58:9 [M+K]+,9.988337841,CCCCCCCCC=CCCCCCCCC(=O)OCC(COC(=O)CCCC=CCC=CCC=CCC=CCCCCC)OC(=O)CCCC=CCC=CCC=CCC=CCCCCC,3
TG 60:6 [M+K]+,11.25221753,CCCCCCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCC=CCC=CCC=CCCCCC)COC(=O)CCCCCCC=CCC=CCC=CCCCCC,3
